Feature,Importance
AgeGroup_Senior,0.17161317892030217
Age,0.14868058921516053
NumOfProducts,0.13868418542911884
MultiProductRisk,0.0716685834444235
Geography_Germany,0.06093769407987523
IsActiveMember,0.05933561741406675
Tenure,0.03888695798438339
Gender_Male,0.0362503401965772
Balance,0.03595126663635397
Geography_France,0.03450984251669408
Geography_Spain,0.03340357197642909
InactiveHighBalance,0.03003358665805893
ProductDensity,0.025810712274565425
Gender_Female,0.0202178585613217
BalanceToSalaryRatio,0.019288405697890143
AgeTenureInteraction,0.018966843332923502
EngagementScore,0.018134476302440087
CreditScore,0.012314892287332286
EstimatedSalary,0.011087779853393055
ZeroBalance,0.009444931233201743
HasCrCard,0.00477868598548817
