Feature,SHAP_Importance
NumOfProducts,0.7098754069901851
Age,0.4300469441341739
AgeGroup_Senior,0.41748746861923614
IsActiveMember,0.34752456525495745
Geography_Germany,0.23996967179845938
MultiProductRisk,0.1894117184484341
Gender_Male,0.17475479153264695
ProductDensity,0.13736203559285012
Balance,0.13189307873708989
Gender_Female,0.11750603608435123
Tenure,0.1128429487347375
EngagementScore,0.10069730488766869
AgeTenureInteraction,0.09587791424974056
CreditScore,0.08598598438247618
InactiveHighBalance,0.08355910315560093
EstimatedSalary,0.08167651713783211
Geography_Spain,0.08063576464311999
BalanceToSalaryRatio,0.07578951231490849
Geography_France,0.07306475146256333
HasCrCard,0.04969877614994039
ZeroBalance,0.04333664245795046
